route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
23922,2,4824600,HOSPITAL/VIA LBJ HOSPITAL/GELLHORN & 610 N,,1,634403,176098,1,1
23922,2,4824601,HOSPITAL/VIA LBJ HOSPITAL/GELLHORN & 610 N,,1,634404,176098,1,1
23922,2,4824602,HOSPITAL/VIA LBJ HOSPITAL/GELLHORN & 610 N,,1,634402,176098,1,1
23922,2,4824603,HOSPITAL/VIA LBJ HOSPITAL/GELLHORN & 610 N,,1,634403,176098,1,1
23922,2,4824604,HOSPITAL/VIA LBJ HOSPITAL/GELLHORN & 610 N,,1,634404,176098,1,1
23923,2,4824930,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634434,176103,1,1
23923,2,4824907,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634431,176100,1,1
23923,2,4824931,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634435,176103,1,1
23923,2,4824908,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634432,176100,1,1
23923,2,4824932,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634433,176103,1,1
23923,2,4824909,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634431,176100,1,1
23923,2,4824933,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634434,176103,1,1
23923,2,4824910,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634432,176100,1,1
23923,2,4824934,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634436,176103,1,1
23923,2,4824911,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634433,176100,1,1
23923,2,4824935,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634431,176103,1,1
23923,2,4824912,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634434,176100,1,1
23923,2,4824936,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634432,176103,1,1
23923,2,4824913,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634435,176100,1,1
23923,2,4824937,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634433,176103,1,1
23923,2,4824914,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634436,176100,1,1
23923,2,4824938,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634434,176103,1,1
23923,2,4824915,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634431,176100,1,1
23923,2,4824939,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634435,176103,1,1
23923,2,4824916,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634432,176100,1,1
23923,2,4824940,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634436,176103,1,1
23923,2,4824917,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634433,176100,1,1
23923,2,4824941,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634431,176103,1,1
23923,2,4824918,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634434,176100,1,1
23923,2,4824942,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634432,176103,1,1
23923,2,4824919,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634435,176100,1,1
23923,2,4824943,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634433,176103,1,1
23923,2,4824920,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634436,176100,1,1
23923,2,4824944,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634434,176103,1,1
23923,2,4824921,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634431,176100,1,1
23923,2,4824945,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634435,176103,1,1
23923,2,4824922,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634432,176100,1,1
23923,2,4824946,BELLAIRE/ALIEF/ VIA MISSION BEND,,0,634436,176103,1,1
23923,2,4824923,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634433,176100,1,1
23923,2,4824947,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634431,176102,1,1
23923,2,4824924,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634434,176100,1,1
23923,2,4824948,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634432,176102,1,1
