route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
23982,,086,F.M. 1960 CROSSTOWN,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/086-fm1960.pdf,7A007A,FFFFFF
23983,,087,SUNNYSIDE / TMC,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/087-sunny.pdf,7A007A,FFFFFF
23984,,088,HOBBY AIRPORT,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/088-hobby.pdf,7A007A,FFFFFF
23985,,097,SETTEGAST SHUTTLE,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/097-set.pdf,7A007A,FFFFFF
23986,,098,BRIARGATE CIRCULATOR,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/098-briar.pdf,7A007A,FFFFFF
23987,,102,BUSH IAH LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/102-iah.pdf,002800,FFFFFF
23988,,108,VETERANS MEMORIAL LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/108-veterans.pdf,002800,FFFFFF
23989,,131,MEMORIAL LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/131-memorial.pdf,002800,FFFFFF
23990,,132,HARWIN LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/132-harwin.pdf,002800,FFFFFF
23991,,137,NORTHSHORE LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/137-nshore.pdf,002800,FFFFFF
23992,,163,FONDREN LTD,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/163-fondren.pdf,002800,FFFFFF
24156,,170,MISSOURI CITY EXPRESS,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/tmccorridor.pdf,002800,FFFFFF
24157,,171,FORTBEND TOWN CENTER,,3,,002800,FFFFFF
23995,,202,KUYKENDAHL,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/northcorridor.pdf,0000B3,FFFFFF
23996,,204,SPRING,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/northcorridor.pdf,0000B3,FFFFFF
23997,,209,KUYKENDAHL/SPRING P&R,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/northcorridor.pdf,0000B3,FFFFFF
23998,,212,SETON LAKE,,3,http://www.ridemetro.org/SchedulesMaps/Pdfs/212-seton.pdf,0000B3,FFFFFF
